#Energy 	 #levels_created 	 #levels_model 	 #levels_model_from_tot 
7.96387	36	2611.31	2602.31
7.97922	42	2655.14	2646
7.99457	46	2699.7	2690.42
8.00993	39	2745.02	2735.58
8.02528	43	2791.1	2781.51
8.04063	43	2837.94	2828.21
8.05598	46	2885.58	2875.69
8.07132	50	2934.02	2923.96
8.08667	49	2983.26	2973.05
8.10202	48	3033.34	3022.96
8.11738	53	3084.25	3073.71
8.13273	50	3136.02	3125.31
8.14808	48	3188.66	3177.78
8.16343	50	3242.19	3231.13
8.17877	51	3296.61	3285.37
8.19412	49	3351.94	3340.53
8.20947	55	3408.21	3396.61
8.22483	59	3465.41	3453.63
8.24018	56	3523.58	3511.61
8.25553	56	3582.73	3570.56
8.27088	50	3642.86	3630.5
8.28622	52	3704.01	3691.45
8.30157	58	3766.18	3753.42
8.31692	63	3829.4	3816.44
8.33228	61	3893.68	3880.51
8.34763	55	3959.04	3945.65
8.36298	71	4025.49	4011.89
8.37833	63	4093.06	4079.24
8.39367	64	4161.76	4147.72
8.40902	54	4231.62	4217.36
8.42437	70	4302.65	4288.16
8.43973	61	4374.87	4360.15
8.45508	70	4448.31	4433.34
8.47043	78	4522.97	4507.77
8.48578	77	4598.89	4583.45
8.50113	71	4676.09	4660.39
8.51647	78	4754.58	4738.63
8.53182	75	4834.39	4818.18
8.54717	70	4915.53	4899.07
8.56253	71	4998.04	4981.32
8.57788	69	5081.94	5064.94
8.59323	79	5167.24	5149.97
8.60858	74	5253.98	5236.43
8.62392	75	5342.17	5324.34
8.63927	84	5431.84	5413.73
8.65462	96	5523.02	5504.61
8.66998	85	5615.72	5597.02
8.68533	83	5709.99	5690.98
8.70068	86	5805.83	5786.52
8.71603	94	5903.29	5883.67
8.73137	91	6002.38	5982.44
8.74672	89	6103.13	6082.88
8.76207	92	6205.57	6184.99
8.77743	88	6309.74	6288.83
8.79278	90	6415.65	6394.4
8.80813	95	6523.34	6501.75
8.82348	94	6632.84	6610.9
8.83882	99	6744.18	6721.89
8.85417	109	6857.38	6834.73
8.86952	113	6972.49	6949.48
8.88488	105	7089.53	7066.14
8.90023	105	7208.53	7184.77
8.91558	104	7329.53	7305.39
8.93093	116	7452.56	7428.03
8.94627	106	7577.66	7552.73
8.96162	123	7704.85	7679.53
8.97697	124	7834.18	7808.45
8.99233	128	7965.69	7939.54
